run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
current-r2-v2-d20-k16-v100,v2,20,16,100,640,1,50012234,5.000275327,10001896.041593712,0.9314991572493418,38.154205480933044,10001082.286403466,50008165,204850110464,62.079,112.639,147.711,19.998899152618606,100.00000200000002,1.9995107996975305,11316.109375,40.96,492052.7049209825,517597.49828671786
current-r2-v2-d20-k16-v1024,v2,20,16,1024,640,1,49681688,5.000322796,9935696.159404507,9.475418242840297,37.90167297136119,9935553.168635875,49680973,203496194048,61.951,107.711,138.239,19.998419918008825,99.99855499999998,2.0127849722014273,11314.48828125,4.0,489726.38365645224,513832.2274024647
current-r2-v2-d20-k16-v4096,v2,20,16,4096,640,1,43374495,5.000391365,8674220.042774593,33.08952347860181,66.17904695720362,8674174.446343562,43374267,355323863040,70.079,124.159,160.383,19.99829007384105,99.999277,2.305485677700686,11319.828125,2.0,422155.7566024635,452570.9759120025
current-r2-v2-d20-k16-v4194304,v2,20,16,4194304,640,1,298571,5.008535549,59612.435027961896,232.86107432797616,233.08847772087458,1967210.3559227427,9852843,1253520486400,10289.151,18546.687,23920.639,19.989227793339563,100.11675800000003,335.3197664877032,10337.81640625,1.0009765625,98251.4739459624,98422.7815051493
current-r2-v2-d20-k16-v65536,v2,20,16,65536,640,1,15328385,5.000555923,3065336.181822758,187.09327281633045,198.78660236735112,3065336.181822758,15328385,1067346104320,183.679,549.887,814.591,19.998410884685146,100.00317199999998,6.524051424856564,10385.53125,1.0625,151720.9309689786,153975.08034228216
current-r3-v2-d20-k16-v100,v2,20,16,100,640,1,50025963,5.000338108,10004516.078615537,0.9317431672118174,38.164200128996036,10003698.53389922,50021875,204906344448,62.047,112.639,147.967,19.998309282329032,99.998308,1.9989281965446621,11314.25390625,40.96,491190.98487969686,514567.40412882494
current-r3-v2-d20-k16-v1024,v2,20,16,1024,640,1,49700717,5.000295969,9939555.039966876,9.479098358122707,37.91639343249083,9939419.44799308,49700039,203574136832,61.919,107.647,138.239,19.998394819016763,99.997893,2.0120010139893956,11315.87890625,4.0,486999.7726328588,513314.8149455071
current-r3-v2-d20-k16-v4096,v2,20,16,4096,640,1,43408382,5.000359478,8681052.270538379,33.11558635917045,66.2311727183409,8681006.873802204,43408155,355601465344,70.079,124.031,159.231,19.998302610034873,99.99870200000001,2.303672640919904,11320.30859375,2.0,425348.6193058058,452739.0500543529
current-r3-v2-d20-k16-v4194304,v2,20,16,4194304,640,1,298553,5.008020592,59614.970528859194,232.87097862835623,233.098391693423,1967294.0274523534,9852249,1253444915200,10272.767,18907.135,23937.023,19.993723500248734,100.12897899999999,335.3809172910672,10338.390625,1.0009765625,98320.88166461755,98413.1336814599
current-r3-v2-d20-k16-v65536,v2,20,16,65536,640,1,15320013,5.000642833,3063608.7222428513,186.98783705095528,198.67457686663997,3063608.7222428513,15320013,1066763145216,183.679,551.423,826.367,19.998139507197234,100.003553,6.527641523541788,10388.68359375,1.0625,151941.26542810423,154191.77608760048
